feature,feature_value,count,percent
age_cohort_18_24,0,115954,93.17
age_cohort_18_24,1,8504,6.83
age_cohort_25_34,0,108713,87.35
age_cohort_25_34,1,15745,12.65
age_cohort_35_44,0,104264,83.77
age_cohort_35_44,1,20194,16.23
age_cohort_45_54,0,104163,83.69
age_cohort_45_54,1,20295,16.31
age_cohort_55_64,0,102242,82.15
age_cohort_55_64,1,22216,17.85
age_cohort_65_plus,0,86997,69.9
age_cohort_65_plus,1,37461,30.1
age_cohort_under_18,0,124417,99.97
age_cohort_under_18,1,41,0.03
age_missing,0,124456,100.0
age_missing,1,2,0.0
campaign_id,13,38422,30.87
campaign_id,3,28734,23.09
campaign_id,6,26193,21.05
campaign_id,11,17193,13.81
campaign_id,14,9904,7.96
campaign_id,5,3590,2.88
campaign_id,8,421,0.34
campaign_id,9,1,0.0
continuous_coverage_months,72,31194,25.06
continuous_coverage_months,12,30209,24.27
continuous_coverage_months,60,29171,23.44
continuous_coverage_months,0,21058,16.92
continuous_coverage_months,24,6023,4.84
continuous_coverage_months,36,4475,3.6
continuous_coverage_months,48,2328,1.87
created_dayofweek,0,39321,31.59
created_dayofweek,4,18612,14.95
created_dayofweek,1,15244,12.25
created_dayofweek,6,15069,12.11
created_dayofweek,5,14717,11.82
created_dayofweek,2,11211,9.01
created_dayofweek,3,10284,8.26
created_hour,16,11361,9.13
created_hour,15,11064,8.89
created_hour,14,10528,8.46
created_hour,17,10333,8.3
created_hour,13,10157,8.16
created_hour,18,8954,7.19
created_hour,19,8098,6.51
created_hour,12,8038,6.46
created_hour,20,7333,5.89
created_hour,10,5069,4.07
created_hour,21,4440,3.57
created_hour,11,4309,3.46
created_hour,22,4002,3.22
created_hour,23,3306,2.66
created_hour,0,2799,2.25
created_hour,1,2432,1.95
created_hour,4,1932,1.55
created_hour,2,1724,1.39
created_hour,7,1692,1.36
created_hour,5,1566,1.26
created_hour,9,1488,1.2
created_hour,3,1411,1.13
created_hour,8,1366,1.1
created_hour,6,1056,0.85
gender,Male,64010,51.43
gender,Female,60445,48.57
gender,Non-binary,3,0.0
is_married,0,83528,67.11
is_married,1,40930,32.89
is_workday,1,81130,65.19
is_workday,0,43328,34.81
marital_status,Single,83439,67.04
marital_status,Married,40930,32.89
marital_status,Divorced,45,0.04
marital_status,Widowed,44,0.04
multi_vehicle,0,96424,77.48
multi_vehicle,1,28034,22.52
num_auto_accidents,0,124457,100.0
num_auto_accidents,1,1,0.0
num_auto_violations,0,124457,100.0
num_auto_violations,1,1,0.0
num_drivers,1,117806,94.66
num_drivers,2,6642,5.34
num_drivers,3,9,0.01
num_drivers,4,1,0.0
num_vehicles,1,96424,77.48
num_vehicles,2,24801,19.93
num_vehicles,3,2429,1.95
num_vehicles,4,625,0.5
num_vehicles,5,131,0.11
num_vehicles,6,30,0.02
num_vehicles,7,8,0.01
num_vehicles,8,4,0.0
num_vehicles,9,2,0.0
num_vehicles,10,1,0.0
num_vehicles,11,1,0.0
num_vehicles,12,1,0.0
num_vehicles,19,1,0.0
state,FL,14599,11.73
state,TX,11499,9.24
state,GA,7747,6.22
state,CA,7059,5.67
state,NY,5201,4.18
state,AZ,5078,4.08
state,OH,4563,3.67
state,IL,4507,3.62
state,PA,4372,3.51
state,VA,4251,3.42
state,MI,3847,3.09
state,NJ,3238,2.6
state,MD,3126,2.51
state,NV,2747,2.21
state,SC,2518,2.02
state,MO,2468,1.98
state,TN,2362,1.9
state,CO,2318,1.86
state,AL,2151,1.73
state,LA,2144,1.72
state,IN,2123,1.71
state,MN,1981,1.59
state,NC,1927,1.55
state,OR,1898,1.53
state,WA,1820,1.46
state,KY,1765,1.42
state,CT,1707,1.37
state,OK,1672,1.34
state,WI,1541,1.24
state,MA,1500,1.21
