feature,feature_value,count,percent
age_cohort_18_24,0,6493,99.14
age_cohort_18_24,1,56,0.86
age_cohort_25_34,0,6282,95.92
age_cohort_25_34,1,267,4.08
age_cohort_35_44,0,6036,92.17
age_cohort_35_44,1,513,7.83
age_cohort_45_54,0,5837,89.13
age_cohort_45_54,1,712,10.87
age_cohort_55_64,0,5323,81.28
age_cohort_55_64,1,1226,18.72
age_cohort_65_plus,1,3775,57.64
age_cohort_65_plus,0,2774,42.36
campaign_id,4,3178,48.53
campaign_id,12,3024,46.17
campaign_id,10,347,5.3
continuous_coverage_months,12,5812,88.75
continuous_coverage_months,0,390,5.96
continuous_coverage_months,60,347,5.3
created_dayofweek,0,1716,26.2
created_dayofweek,1,1114,17.01
created_dayofweek,2,1007,15.38
created_dayofweek,4,977,14.92
created_dayofweek,6,681,10.4
created_dayofweek,5,559,8.54
created_dayofweek,3,495,7.56
created_hour,<NA>,2511,38.34
created_hour,11,439,6.7
created_hour,10,419,6.4
created_hour,12,390,5.96
created_hour,13,364,5.56
created_hour,9,342,5.22
created_hour,8,330,5.04
created_hour,7,317,4.84
created_hour,6,274,4.18
created_hour,5,212,3.24
created_hour,14,138,2.11
created_hour,16,113,1.73
created_hour,15,102,1.56
created_hour,17,95,1.45
created_hour,18,95,1.45
created_hour,19,93,1.42
created_hour,20,52,0.79
created_hour,21,49,0.75
created_hour,22,46,0.7
created_hour,23,36,0.55
created_hour,3,33,0.5
created_hour,4,28,0.43
created_hour,1,26,0.4
created_hour,0,24,0.37
created_hour,2,21,0.32
gender,Female,4487,68.51
gender,Male,2062,31.49
home_property_type,Single Family Home,6203,94.72
home_property_type,Condominium,166,2.53
home_property_type,Townhome,96,1.47
home_property_type,Mobile Home,43,0.66
home_property_type,Multi Family Home,36,0.55
home_property_type,Duplex,4,0.06
home_property_type,Apartment,1,0.02
is_married,0,4584,70.0
is_married,1,1965,30.0
is_workday,1,4693,71.66
is_workday,0,1856,28.34
marital_status,Single,4584,70.0
marital_status,Married,1965,30.0
state,FL,924,14.11
state,TX,548,8.37
state,CA,413,6.31
state,GA,269,4.11
state,LA,258,3.94
state,OH,240,3.66
state,VA,225,3.44
state,TN,224,3.42
state,IL,217,3.31
state,PA,217,3.31
state,AL,206,3.15
state,MI,185,2.82
state,IN,181,2.76
state,NJ,176,2.69
state,SC,157,2.4
state,NC,138,2.11
state,MS,134,2.05
state,AZ,131,2.0
state,MD,127,1.94
state,KY,120,1.83
state,MO,120,1.83
state,CO,103,1.57
state,NY,99,1.51
state,OK,99,1.51
state,CT,90,1.37
state,MN,87,1.33
state,WI,80,1.22
state,AR,65,0.99
state,IA,61,0.93
state,NM,59,0.9
traffic_tier,2001,3174,48.47
traffic_tier,Tier 1,2356,35.97
traffic_tier,Tier 2,527,8.05
traffic_tier,204662412,184,2.81
traffic_tier,Tier 3,141,2.15
traffic_tier,847809188,104,1.59
traffic_tier,204661870,35,0.53
traffic_tier,204662411,14,0.21
traffic_tier,13905900,10,0.15
traffic_tier,1005,4,0.06
