time,cpu_total_pct,cores_of_work,cores_busy,ram_used_mb,ram_pct,cpu0,cpu1,cpu2,cpu3,cpu4,cpu5,cpu6,cpu7
09:25:58,315,3.15,0,7123,23,49,28,66,40,28,32,35,36
09:26:00,319,3.19,0,7121,23,33,26,30,41,53,78,26,32
09:26:02,316,3.16,0,7132,23,37,60,29,41,28,30,53,38
09:26:04,314,3.14,0,7121,23,38,49,44,24,42,26,35,57
09:26:06,313,3.13,0,7129,23,34,35,56,30,75,32,29,22
09:26:08,311,3.11,0,7138,23,79,37,34,49,36,34,20,22
09:26:10,321,3.21,0,7123,23,44,74,49,46,23,33,24,27
09:26:12,317,3.17,0,7129,23,26,38,33,30,35,46,58,51
09:26:14,383,3.83,0,7130,23,53,55,37,67,25,43,49,53
09:26:16,370,3.70,0,7162,23,54,71,41,43,41,38,31,52
09:26:18,396,3.96,0,7123,23,37,43,71,66,38,56,35,51
09:26:20,319,3.19,0,7119,23,35,34,27,67,48,50,30,27
09:26:22,304,3.04,0,7139,23,39,57,28,54,24,53,21,29
09:26:24,311,3.11,0,7117,23,58,34,32,36,19,27,40,64
09:26:26,319,3.19,0,7141,23,53,55,45,41,41,30,23,31
09:26:28,312,3.12,0,7150,23,25,38,26,68,40,53,32,30
09:26:30,311,3.11,0,7110,23,30,67,37,29,37,51,21,39
09:26:32,308,3.08,0,7119,23,32,49,29,24,35,33,32,73
09:26:34,328,3.28,0,7134,23,38,39,32,55,27,72,30,36
09:26:36,342,3.42,0,7111,23,39,38,46,32,52,53,26,56
09:26:38,310,3.10,0,7146,23,33,50,54,27,34,22,54,36
09:26:40,332,3.32,0,7120,23,62,54,31,32,38,35,27,54
09:26:42,311,3.11,1,7118,23,40,98,23,24,33,25,41,27
09:26:44,307,3.07,0,7128,23,27,68,52,33,24,38,32,32
09:26:46,324,3.24,0,7123,23,28,29,29,59,37,35,32,74
09:26:48,310,3.10,0,7138,23,20,56,30,27,59,54,32,32
09:26:50,323,3.23,1,7109,23,42,46,21,30,83,33,30,38
09:26:52,329,3.29,0,7120,23,33,31,34,26,68,58,37,42
09:26:54,317,3.17,0,7130,23,33,40,30,56,38,75,20,25
09:26:56,321,3.21,0,7107,23,28,44,44,21,75,44,39,26
09:26:58,316,3.16,0,7108,23,28,36,69,33,37,61,28,23
09:27:00,314,3.14,0,7102,23,40,41,24,41,36,77,25,29
09:27:02,325,3.25,1,7102,23,32,25,39,27,91,38,41,32
09:27:04,307,3.07,0,7115,23,27,37,37,29,22,73,54,28
09:27:06,325,3.25,0,7115,23,26,47,54,47,50,48,26,28
09:27:08,316,3.16,0,7115,23,33,24,78,33,53,31,38,27
09:27:10,336,3.36,0,7119,23,34,34,49,36,64,29,32,58
09:27:12,300,3.00,1,7126,23,34,32,24,26,93,27,23,41
09:27:14,308,3.08,0,7124,23,52,27,29,77,27,38,28,30
09:27:16,339,3.39,0,7111,23,40,23,47,59,35,56,37,42
09:27:18,347,3.47,0,7128,23,34,44,31,54,50,29,50,55
09:27:20,419,4.19,1,7127,23,74,36,37,48,97,27,53,47
09:27:22,310,3.10,0,7128,23,38,54,32,40,35,29,48,33
09:27:24,308,3.08,0,7122,23,35,33,53,29,35,51,47,24
09:27:26,316,3.16,1,7111,23,26,29,97,31,39,37,33,24
09:27:28,317,3.17,0,7107,23,33,40,21,61,77,30,22,33
09:27:30,316,3.16,0,7125,23,61,32,26,27,73,32,34,31
09:27:32,308,3.08,0,7125,23,55,51,24,36,37,45,38,23
09:27:34,307,3.07,0,7118,23,78,61,39,29,27,26,28,20
09:27:36,373,3.73,0,7109,23,35,41,34,34,45,62,60,63
09:27:38,301,3.01,0,7109,23,16,23,26,69,32,68,36,31
09:27:40,325,3.25,0,7111,23,38,50,60,26,33,57,34,26
09:27:42,308,3.08,0,7113,23,24,31,56,27,30,36,35,69
09:27:44,301,3.01,1,7120,23,48,24,26,32,30,34,24,82
09:27:46,319,3.19,0,7101,23,47,16,31,26,45,30,61,64
09:27:48,301,3.01,0,7100,23,77,52,40,19,28,23,31,32
09:27:50,317,3.17,0,7113,23,43,31,35,36,57,63,25,27
09:27:52,322,3.22,0,7109,23,43,38,33,33,21,63,32,59
09:27:54,308,3.08,0,7109,23,38,23,34,31,31,52,24,74
09:27:56,322,3.22,0,7107,23,48,36,41,45,19,45,54,33
09:27:58,346,3.46,1,7110,23,35,30,27,36,33,39,49,97
09:28:00,320,3.20,0,7116,23,74,39,33,31,53,32,31,27
09:28:02,314,3.14,0,7116,23,74,56,30,36,22,31,28,37
09:28:04,305,3.05,0,7121,23,43,41,38,48,31,30,25,50
09:28:06,308,3.08,1,7121,23,25,83,45,29,33,26,31,36
09:28:08,317,3.17,0,7140,23,38,37,34,55,28,27,46,53
09:28:10,329,3.29,0,7125,23,50,40,57,25,28,40,42,47
09:28:12,320,3.20,0,7122,23,32,65,41,32,26,44,59,23
09:28:14,313,3.13,0,7126,23,31,50,55,40,22,34,25,55
09:28:16,317,3.17,1,7122,23,22,28,55,43,30,83,37,20
09:28:18,323,3.23,0,7122,23,61,33,33,56,53,29,29,29
09:28:20,321,3.21,1,7137,23,99,28,34,30,35,33,34,28
09:28:22,438,4.38,2,7443,24,38,94,57,40,81,43,50,35
09:28:24,325,3.25,0,7130,23,30,42,25,51,55,47,36,38
09:28:26,366,3.66,0,7125,23,34,42,39,34,58,71,53,34
09:28:28,331,3.31,1,7133,23,35,36,30,41,34,37,36,82
09:28:31,305,3.05,0,7143,23,27,20,33,41,56,31,57,40
09:28:33,313,3.13,0,7133,23,40,37,27,42,22,50,23,72
09:28:35,305,3.05,1,7141,23,44,28,86,40,25,27,25,30
09:28:37,335,3.35,0,7110,23,31,32,30,40,76,47,31,48
09:28:39,330,3.30,0,7127,23,48,26,40,39,33,51,38,56
