nohup: ignoring input
>> host monitor: 8 cores, interval=2.0s, duration=7200.0s
>> time      cpu_total%  (of 800)  cores_busy  ram_used_mb  ram%
>> 09:25:58      315   ( 3.1 cores)    0/8         7123      23%
>> 09:26:00      319   ( 3.2 cores)    0/8         7121      23%
>> 09:26:02      316   ( 3.2 cores)    0/8         7132      23%
>> 09:26:04      314   ( 3.1 cores)    0/8         7121      23%
>> 09:26:06      313   ( 3.1 cores)    0/8         7129      23%
>> 09:26:08      311   ( 3.1 cores)    0/8         7138      23%
>> 09:26:10      321   ( 3.2 cores)    0/8         7123      23%
>> 09:26:12      317   ( 3.2 cores)    0/8         7129      23%
>> 09:26:14      383   ( 3.8 cores)    0/8         7130      23%
>> 09:26:16      370   ( 3.7 cores)    0/8         7162      23%
>> 09:26:18      396   ( 4.0 cores)    0/8         7123      23%
>> 09:26:20      319   ( 3.2 cores)    0/8         7119      23%
>> 09:26:22      304   ( 3.0 cores)    0/8         7139      23%
>> 09:26:24      311   ( 3.1 cores)    0/8         7117      23%
>> 09:26:26      319   ( 3.2 cores)    0/8         7141      23%
>> 09:26:28      312   ( 3.1 cores)    0/8         7150      23%
>> 09:26:30      311   ( 3.1 cores)    0/8         7110      23%
>> 09:26:32      308   ( 3.1 cores)    0/8         7119      23%
>> 09:26:34      328   ( 3.3 cores)    0/8         7134      23%
>> 09:26:36      342   ( 3.4 cores)    0/8         7111      23%
>> 09:26:38      310   ( 3.1 cores)    0/8         7146      23%
>> 09:26:40      332   ( 3.3 cores)    0/8         7120      23%
>> 09:26:42      311   ( 3.1 cores)    1/8         7118      23%
>> 09:26:44      307   ( 3.1 cores)    0/8         7128      23%
>> 09:26:46      324   ( 3.2 cores)    0/8         7123      23%
>> 09:26:48      310   ( 3.1 cores)    0/8         7138      23%
>> 09:26:50      323   ( 3.2 cores)    1/8         7109      23%
>> 09:26:52      329   ( 3.3 cores)    0/8         7120      23%
>> 09:26:54      317   ( 3.2 cores)    0/8         7130      23%
>> 09:26:56      321   ( 3.2 cores)    0/8         7107      23%
>> 09:26:58      316   ( 3.2 cores)    0/8         7108      23%
>> 09:27:00      314   ( 3.1 cores)    0/8         7102      23%
>> 09:27:02      325   ( 3.2 cores)    1/8         7102      23%
>> 09:27:04      307   ( 3.1 cores)    0/8         7115      23%
>> 09:27:06      325   ( 3.3 cores)    0/8         7115      23%
>> 09:27:08      316   ( 3.2 cores)    0/8         7115      23%
>> 09:27:10      336   ( 3.4 cores)    0/8         7119      23%
>> 09:27:12      300   ( 3.0 cores)    1/8         7126      23%
>> 09:27:14      308   ( 3.1 cores)    0/8         7124      23%
>> 09:27:16      339   ( 3.4 cores)    0/8         7111      23%
>> 09:27:18      347   ( 3.5 cores)    0/8         7128      23%
>> 09:27:20      419   ( 4.2 cores)    1/8         7127      23%
>> 09:27:22      310   ( 3.1 cores)    0/8         7128      23%
>> 09:27:24      308   ( 3.1 cores)    0/8         7122      23%
>> 09:27:26      316   ( 3.2 cores)    1/8         7111      23%
>> 09:27:28      317   ( 3.2 cores)    0/8         7107      23%
>> 09:27:30      316   ( 3.2 cores)    0/8         7125      23%
>> 09:27:32      308   ( 3.1 cores)    0/8         7125      23%
>> 09:27:34      307   ( 3.1 cores)    0/8         7118      23%
>> 09:27:36      373   ( 3.7 cores)    0/8         7109      23%
>> 09:27:38      301   ( 3.0 cores)    0/8         7109      23%
>> 09:27:40      325   ( 3.2 cores)    0/8         7111      23%
>> 09:27:42      308   ( 3.1 cores)    0/8         7113      23%
>> 09:27:44      301   ( 3.0 cores)    1/8         7120      23%
>> 09:27:46      319   ( 3.2 cores)    0/8         7101      23%
>> 09:27:48      301   ( 3.0 cores)    0/8         7100      23%
>> 09:27:50      317   ( 3.2 cores)    0/8         7113      23%
>> 09:27:52      322   ( 3.2 cores)    0/8         7109      23%
>> 09:27:54      308   ( 3.1 cores)    0/8         7109      23%
>> 09:27:56      322   ( 3.2 cores)    0/8         7107      23%
>> 09:27:58      346   ( 3.5 cores)    1/8         7110      23%
>> 09:28:00      320   ( 3.2 cores)    0/8         7116      23%
>> 09:28:02      314   ( 3.1 cores)    0/8         7116      23%
>> 09:28:04      305   ( 3.1 cores)    0/8         7121      23%
>> 09:28:06      308   ( 3.1 cores)    1/8         7121      23%
>> 09:28:08      317   ( 3.2 cores)    0/8         7140      23%
>> 09:28:10      329   ( 3.3 cores)    0/8         7125      23%
>> 09:28:12      320   ( 3.2 cores)    0/8         7122      23%
>> 09:28:14      313   ( 3.1 cores)    0/8         7126      23%
>> 09:28:16      317   ( 3.2 cores)    1/8         7122      23%
>> 09:28:18      323   ( 3.2 cores)    0/8         7122      23%
>> 09:28:20      321   ( 3.2 cores)    1/8         7137      23%
>> 09:28:22      438   ( 4.4 cores)    2/8         7443      24%
>> 09:28:24      325   ( 3.2 cores)    0/8         7130      23%
>> 09:28:26      366   ( 3.7 cores)    0/8         7125      23%
>> 09:28:28      331   ( 3.3 cores)    1/8         7133      23%
>> 09:28:31      305   ( 3.1 cores)    0/8         7143      23%
>> 09:28:33      313   ( 3.1 cores)    0/8         7133      23%
>> 09:28:35      305   ( 3.0 cores)    1/8         7141      23%
>> 09:28:37      335   ( 3.3 cores)    0/8         7110      23%
>> 09:28:39      330   ( 3.3 cores)    0/8         7127      23%
>> 09:28:41      317   ( 3.2 cores)    0/8         7130      23%
>> 09:28:43      310   ( 3.1 cores)    0/8         7129      23%
>> 09:28:45      309   ( 3.1 cores)    0/8         7131      23%
>> 09:28:47      314   ( 3.1 cores)    0/8         7136      23%
>> 09:28:49      316   ( 3.2 cores)    0/8         7128      23%
>> 09:28:51      304   ( 3.0 cores)    0/8         7130      23%
>> 09:28:53      317   ( 3.2 cores)    0/8         7123      23%
>> 09:28:55      307   ( 3.1 cores)    0/8         7137      23%
>> 09:28:57      319   ( 3.2 cores)    0/8         7136      23%
>> 09:28:59      328   ( 3.3 cores)    0/8         7142      23%
>> 09:29:01      323   ( 3.2 cores)    0/8         7147      23%
>> 09:29:03      312   ( 3.1 cores)    0/8         7113      23%
>> 09:29:05      311   ( 3.1 cores)    0/8         7115      23%
>> 09:29:07      310   ( 3.1 cores)    0/8         7137      23%
>> 09:29:09      321   ( 3.2 cores)    1/8         7106      23%
>> 09:29:11      316   ( 3.2 cores)    1/8         7114      23%
>> 09:29:13      316   ( 3.2 cores)    0/8         7123      23%
>> 09:29:15      304   ( 3.0 cores)    0/8         7132      23%
>> 09:29:17      318   ( 3.2 cores)    1/8         7121      23%
>> 09:29:19      339   ( 3.4 cores)    0/8         7112      23%
>> 09:29:21      308   ( 3.1 cores)    0/8         7117      23%
>> 09:29:23      312   ( 3.1 cores)    1/8         7118      23%
>> 09:29:25      412   ( 4.1 cores)    0/8         7392      24%
>> 09:29:27      355   ( 3.6 cores)    0/8         7128      23%
>> 09:29:29      314   ( 3.1 cores)    0/8         7111      23%
>> 09:29:31      313   ( 3.1 cores)    1/8         7113      23%
>> 09:29:33      310   ( 3.1 cores)    0/8         7122      23%
>> 09:29:35      306   ( 3.1 cores)    1/8         7122      23%
>> 09:29:37      352   ( 3.5 cores)    0/8         7131      23%
>> 09:29:39      312   ( 3.1 cores)    0/8         7129      23%
>> 09:29:41      322   ( 3.2 cores)    0/8         7131      23%
>> 09:29:43      315   ( 3.2 cores)    0/8         7111      23%
>> 09:29:45      311   ( 3.1 cores)    0/8         7109      23%
>> 09:29:47      308   ( 3.1 cores)    0/8         7116      23%
>> 09:29:49      326   ( 3.3 cores)    0/8         7100      23%
>> 09:29:51      316   ( 3.2 cores)    1/8         7107      23%
>> 09:29:53      308   ( 3.1 cores)    0/8         7116      23%
>> 09:29:55      302   ( 3.0 cores)    0/8         7127      23%
>> 09:29:57      315   ( 3.1 cores)    1/8         7138      23%
>> 09:29:59      316   ( 3.2 cores)    0/8         7130      23%
>> 09:30:01      305   ( 3.1 cores)    0/8         7137      23%
>> 09:30:03      320   ( 3.2 cores)    0/8         7117      23%
>> 09:30:05      304   ( 3.0 cores)    1/8         7126      23%
>> 09:30:07      359   ( 3.6 cores)    0/8         7125      23%
>> 09:30:09      364   ( 3.6 cores)    0/8         7129      23%
>> 09:30:11      320   ( 3.2 cores)    0/8         7139      23%
>> 09:30:13      305   ( 3.0 cores)    0/8         7143      23%
>> 09:30:15      324   ( 3.2 cores)    1/8         7126      23%
>> 09:30:17      307   ( 3.1 cores)    0/8         7126      23%
>> 09:30:19      338   ( 3.4 cores)    1/8         7129      23%
>> 09:30:21      308   ( 3.1 cores)    0/8         7139      23%
>> 09:30:23      310   ( 3.1 cores)    0/8         7140      23%
>> 09:30:25      318   ( 3.2 cores)    1/8         7128      23%
>> 09:30:27      402   ( 4.0 cores)    0/8         7334      23%
>> 09:30:29      375   ( 3.7 cores)    0/8         7121      23%
>> 09:30:31      302   ( 3.0 cores)    0/8         7131      23%
