nohup: ignoring input
>> soak: http://localhost:8000/recommend_bid  rate=3000/min  duration=2.0h  sample=60s  out=soak_metrics.csv
>> min  ok  err  req/min  p50  p95  p99  cpu%  mem  predlog  shaplag  pgconn
>>   1.0   3001    0    3001    32   51   64  229.70  977.2MiB    101551   30886     39
>>   2.0   3001    0    3001    32   49   62  178.18  978.7MiB    104551   33688     28
>>   3.0   3000    0    3000    32   48   63  182.65  979.8MiB    107551   36506     29
>>   4.0   3000    0    3000    32   47   58  173.94  979.8MiB    110552   39337     28
>>   5.0   3000    0    3000    32   50   67  177.88  980.6MiB    113551   42176     29
>>   6.0   3000    0    3000    32   49   62  179.11  981.1MiB    116551   45024     28
>>   7.0   3000    0    3000    32   47   62  180.80  981.7MiB    119550   47878     28
>>   8.0   3000    0    3000    31   47   58  190.28  981.9MiB    122553   50741     28
>>   9.0   3000    0    3000    31   47   59  184.66  982.4MiB    125551   53603     28
>>  10.0   3000    0    3000    32   48   63  192.80  982.5MiB    128553   56477     28
>>  11.0   3000    0    3000    32   49   62  193.21  982.8MiB    131552   59353     28
>>  12.0   3000    0    3000    32   47   60  176.05  982.9MiB    134552   62233     28
>>  13.0   3000    0    3000    31   47   61  187.45  982.8MiB    137551   65118     28
>>  14.0   3000    0    3000    31   48   66  213.97    983MiB    140552   68009     28
>>  15.0   3000    0    3000    31   48   63  176.34  983.9MiB    143551   70904     28
>>  16.0   3000    0    3000    32   47   60  175.84  983.2MiB    146552   73802     28
>>  17.0   3000    0    3000    31   48   60  181.12  983.2MiB    149552   76704     28
>>  18.0   2999    0    2999    31   48   62  196.47  983.4MiB    152574   79630     28
>>  19.0   3001    0    3001    32   48   56  175.19  983.5MiB    155552   82515     28
>>  20.0   3000    0    3000    31   46   59  197.80  983.6MiB    158552   85428     28
>>  21.0   3000    0    3000    31   47   61  180.00  983.8MiB    161552   88339     28
>>  22.0   3000    0    3000    31   46   59  171.68  984.8MiB    164552   91254     28
>>  23.0   3000    0    3000    31   47   66  178.85  984.6MiB    167552   94170     28
>>  24.0   2999    0    2999    31   47   60  179.84  984.7MiB    170553   97090     28
>>  25.0   3001    0    3001    31   47   60  182.15  985.3MiB    173551  100012     28
>>  26.0   3000    0    3000    31   47   61  175.64  984.4MiB    176551  102937     28
>>  27.0   3000    0    3000    32   49   62  190.29  984.5MiB    179550  105863     29
>>  28.0   3000    0    3000    31   48   61  178.77  984.9MiB    182551  108788     28
>>  29.0   3000    0    3000    31   47   58  178.73  984.8MiB    185551  111719     28
>>  30.0   3000    0    3000    31   49   62  178.12  984.8MiB    188551  114648     28
>>  31.0   3000    0    3000    31   47   61  179.66  985.3MiB    191552  117582     28
>>  32.0   3000    0    3000    31   47   62  178.65  984.6MiB    194553  120517     28
>>  33.0   3000    0    3000    31   48   59  171.60  984.7MiB    197551  123452     28
>>  34.0   3000    0    3000    31   48   64  175.78    985MiB    200552  126389     28
>>  35.0   3000    0    3000    31   47   62  171.16  985.4MiB    203553  129328     28
>>  36.0   3000    0    3000    31   47   57  183.23  985.2MiB    206551  132268     28
>>  37.0   3000    0    3000    31   48   62  179.66  985.7MiB    209551  135205     28
>>  38.0   2999    0    2999    31   48   61  179.38  986.4MiB    212552  138147     28
>>  39.0   3001    0    3001    31   48   60  175.84  986.8MiB    215551  141091     28
>>  40.0   3000    0    3000    31   48   64  174.83  986.8MiB    218551  144034     28
>>  41.0   3000    0    3000    31   48   71  178.72  986.2MiB    221551  146979     28
>>  42.0   3000    0    3000    31   47   63  172.01  985.9MiB    224552  149926     28
